Zip Code,Age: 20-30,Age: 30-45,Age: 45-60,Age: 60+,Race: White,Race: Black/African American,Race: American Indian and Alaska Native,Race: Asian,Race: Hawaiian and Pacific Islander,Education: Below Middle School,Educatiohn: High School,Education: College,Education: Graduate and Above,"Income: Less than 10,000","Income: Between 10,000 to 19,999","Income: Between 20,000 to 34,999","Income: Between 35,000 to 49,999","Income: Between 50,000 to 74,999","Income: More than 75,000",Employment: Employed,Employment: Unemployed,Employment: Not In Labor Force,Insurance: 2 or More,Insurance: One,Insurance: No,Transportation: Cars,Transportation: Public,Transportation: Motor
33415,10531,10787,10033,9875,36027,10684,43,1377,23,1565,11968,12834,1223,1223,1906,3133,2782,3818,3438,25056,2235,13184,5754,34120,11461,23157,508,16
33417,3918,4083,4575,8993,17715,5984,78,494,0,784,7240,8513,1006,1052,1520,2221,1669,1603,2366,11042,895,9399,4936,16993,3867,9888,388,0
33418,4964,5907,7327,14268,32451,2180,64,1432,9,382,5215,17007,6446,589,904,1624,1439,2705,8883,17846,610,13709,8082,25946,3125,14926,270,0
33420,360,464,619,1824,3233,63,0,196,0,62,713,1830,504,147,151,195,270,339,795,1600,48,1603,865,2380,174,1331,2,0
33425,1293,905,760,776,2182,2033,0,143,0,93,1359,1451,114,68,196,313,237,291,314,2559,184,963,497,2948,1029,2361,79,0
33426,4277,4101,4289,8569,18037,5118,72,619,0,409,6074,10312,1683,520,907,1885,1474,2056,3525,11210,781,9114,4989,16268,3011,10105,217,35
33427,348,331,538,675,1975,17,31,54,0,56,376,899,374,36,88,75,80,145,464,1064,46,744,309,1808,146,805,0,20
33428,5738,5488,6306,6048,23752,2169,126,1236,0,359,5084,10425,2318,441,630,1213,1148,1789,4286,14274,1071,7853,3227,21190,4660,12648,224,0
33430,3926,3978,3806,3129,5512,12577,11,93,0,1039,6754,3419,285,1455,922,964,640,608,551,5374,1097,8186,1760,10148,3376,4331,447,0
33431,4632,5027,6065,10845,27419,777,10,763,20,229,4353,13768,4434,778,1148,1448,1434,2270,6526,15023,478,10745,5906,21667,3000,12999,148,0
33432,5169,2356,4213,8157,17967,1496,0,321,0,364,3995,10086,3403,660,796,1056,1518,1183,4683,9974,931,8826,4121,14879,1960,7938,85,7
33433,6287,5818,8274,14785,34482,1705,72,1532,0,446,7456,16931,5270,840,1409,2177,2484,3034,7749,18005,1362,15392,8223,29548,2902,15654,75,22
33434,3413,3159,5272,15352,27430,719,0,539,27,311,5805,13927,4442,701,1912,2013,1776,1774,5878,11830,673,14447,8706,19863,1404,9678,123,21
33435,6542,6612,7182,10359,19622,15074,3,246,8,1743,8683,12367,2236,905,1513,2297,2183,2148,4321,16080,1973,12142,6837,22931,6112,13825,571,23
33436,4132,5048,5785,10073,22625,4213,62,695,133,437,6556,12030,2429,550,1091,1842,1681,2511,4290,13772,986,10012,5749,19634,3412,12398,167,33
33437,3800,4776,4785,24589,35194,5370,195,615,0,504,9179,18312,6216,917,1644,3020,2543,3809,7626,13820,977,22965,15949,23441,2562,11755,223,0
33440,3983,2961,3348,2535,10856,4475,0,259,0,1043,5210,2968,198,523,797,1074,883,744,1111,7470,664,4501,1887,10219,4174,5801,758,0
33441,5156,5411,6183,6782,16996,9129,42,423,0,910,7721,9586,1282,894,1321,1427,1387,1923,3590,14211,1428,7425,3329,19794,4988,11815,317,125
33442,5047,5928,5757,11232,23209,7014,46,508,0,593,8418,10232,1913,1259,2125,2130,2137,2501,3863,14961,944,11537,5998,20752,5583,13221,174,28
33443,1329,1280,1349,1557,4888,321,18,721,0,203,1348,1715,215,70,209,499,604,487,505,3480,231,1684,752,4478,1062,3000,149,0
33444,5321,4497,5172,5170,9708,12712,22,180,0,988,6622,7179,1355,538,681,1196,1197,1579,2796,11947,1169,6855,2825,16910,4111,9591,435,31
33445,5403,4489,4819,8384,16275,7345,36,1214,70,263,4823,10725,2993,626,902,1693,1431,2121,4038,13094,1052,8639,5101,18081,3144,11465,289,39
33446,3657,6072,6936,23427,40282,1839,43,1165,0,309,8586,20264,7228,1310,1761,2656,2366,3019,9767,16433,839,22399,14481,28814,2544,12932,87,58
33449,1164,1389,1895,4390,9021,629,0,139,0,81,1982,4650,1442,68,128,349,445,787,2167,4125,131,4516,2835,6477,951,3653,0,0
33455,2302,2671,5062,9626,20623,1050,48,292,34,341,6360,9987,1816,551,1218,1545,1368,1757,3581,9378,553,9483,5521,14408,2456,8007,4,7
33458,6811,7854,10019,9215,36047,1309,69,1169,22,337,7394,17215,3944,645,859,1768,1547,2397,7872,22469,717,10277,5971,28574,5909,19154,16,38
33460,2930,4397,4161,4626,15789,1930,308,468,9,568,3625,6321,1434,529,838,1525,991,1309,2592,9886,667,5486,2337,11674,5290,8316,393,21
33461,9021,8734,7314,6275,30473,6812,49,346,0,1320,8808,8887,1001,1068,1483,2642,2065,2323,2753,18896,1541,10353,4022,23862,11915,16660,680,6
33462,4755,6792,6231,6066,21060,6037,53,349,36,978,6494,8465,1223,641,1054,1859,1726,1907,2799,14149,954,8349,3797,17491,7205,12377,457,7
33463,15633,15741,14970,13177,48192,20813,71,2825,26,2925,15224,22372,2847,1097,2318,3936,3558,4333,7452,36697,3048,18540,8766,49936,16888,32645,764,77
33464,1088,1024,619,669,2861,1093,68,0,0,199,988,989,88,159,302,413,268,168,196,2158,98,1099,284,2314,1574,1683,102,0
33465,1418,1281,1757,1273,4736,1696,0,12,0,198,2007,1870,358,249,141,353,314,545,678,3789,379,1499,508,4563,1694,3195,121,0
33467,10430,10438,13700,17746,49328,6823,154,2904,52,1445,12846,24605,6283,913,1419,2975,2754,3851,10208,29342,1576,20411,10997,45543,5845,26497,183,60
33468,1041,1439,827,1275,5249,215,0,53,0,80,907,1858,631,217,174,197,155,438,993,3037,177,1326,975,4145,833,2713,0,12
33469,1787,1672,3636,6153,14382,114,30,124,58,51,2776,7412,2139,247,409,896,758,1018,3337,6789,198,6144,3629,10118,1150,6076,8,0
33470,2242,1934,2260,1665,6162,2805,92,85,0,472,2755,2962,346,304,243,308,346,368,1157,4249,576,3030,1033,6680,1642,3647,63,41
33471,3196,2943,3434,4427,14975,1319,217,73,0,757,5628,4267,362,517,764,1349,914,1078,1123,6361,689,6669,3180,10072,3937,5013,266,20
33472,3681,3347,5560,10421,22472,2634,50,971,0,123,4612,12302,3799,430,494,1197,772,1845,5526,10922,514,11169,7381,17991,1396,9562,16,0
33476,2937,1944,1965,2395,5746,5451,0,1,0,757,3588,2445,146,732,611,956,455,379,480,3736,918,4450,1192,7585,2374,3211,226,0
33477,2185,2944,3998,6903,17523,382,0,522,0,65,2836,8679,3268,408,431,802,927,1071,5016,8555,437,6929,3686,14155,1014,6990,29,0
33478,2074,2898,4569,4521,15957,419,30,325,0,234,3457,7666,1797,108,128,285,486,792,3838,9099,217,4494,2391,13676,896,7924,0,0
33480,286,528,1208,6219,8215,74,38,178,0,68,755,4626,2336,174,284,401,472,489,3037,2785,43,5366,3580,4832,276,1606,19,0
33482,364,324,550,1170,1957,352,0,18,0,8,850,1044,229,68,167,254,185,122,455,1309,85,955,550,1815,216,1120,0,0
33483,1536,2293,2843,5856,12727,441,0,204,0,197,2250,6772,2215,526,478,875,889,1106,3255,6596,317,5504,3481,9418,745,5183,123,12
33484,1809,2231,3516,14052,19679,1868,82,475,7,604,6392,10214,2768,1010,1792,2681,1799,1936,3158,7748,722,13072,8272,12691,1602,6604,129,29
33486,3883,3407,4669,5107,16349,1155,0,1257,0,77,3618,8787,2151,593,524,1233,780,1176,3659,10007,410,6240,2339,15841,2033,8331,179,0
33487,987,1034,1894,3947,7599,419,0,227,0,41,1296,4412,1492,205,179,412,503,615,2318,3506,259,3982,2275,5542,876,2607,81,0
33496,2311,1915,2769,7890,15761,446,23,605,0,167,1871,7145,3876,315,467,474,416,1057,4613,6440,322,7860,4674,11966,534,5183,22,0
33498,2712,2855,4044,3487,13686,738,0,1035,0,157,2694,6447,2175,77,205,226,406,852,3407,8324,389,4243,2264,13435,711,7132,64,35
33508,319,201,316,298,967,359,11,5,0,21,427,558,34,37,47,142,93,53,135,564,56,514,235,1142,88,516,18,0
33510,5106,5219,5783,5221,18426,4985,9,809,19,250,7700,9751,1223,397,713,1337,1199,2015,3746,12990,696,7358,3559,19534,2937,11685,73,35
33511,10767,11304,10427,9670,36392,8495,122,3026,22,605,11745,21098,3107,1017,1505,2908,2852,4265,7314,26271,1378,13836,7079,37108,6811,23246,190,77
33513,2868,2425,3040,3870,11884,1527,80,0,0,400,6370,4083,335,316,700,1060,626,859,835,4682,318,7089,2542,7886,1660,4167,8,13
33514,811,998,972,1602,4624,638,21,0,0,302,2047,1672,121,238,175,376,211,343,529,2076,177,2042,1061,3653,1086,1769,4,0
33523,4194,3082,4614,5265,18591,977,86,289,12,480,8115,6140,874,355,977,1040,924,1623,2410,9084,488,7395,3549,14350,2725,8237,44,8
33525,5018,3908,4304,6338,19813,1992,77,632,17,334,6832,9208,1341,360,786,1265,925,1641,3031,9884,643,8785,4414,16144,2677,8809,0,28
33526,833,570,418,537,2149,923,0,0,0,73,1119,745,36,54,232,271,161,260,134,1190,158,966,378,2165,624,1154,0,0
33527,4171,4986,5639,5641,20451,1885,39,1155,0,431,6245,9962,1560,197,412,849,1141,1597,4289,12015,869,7161,3508,18842,2902,10748,0,54
33534,4230,5699,3780,2347,14757,3559,102,712,244,704,5000,7045,952,328,531,720,1064,1257,2810,10067,702,4855,2048,17431,2324,9207,124,28
33538,966,770,1530,3223,6722,379,13,58,0,322,3474,2132,275,357,488,545,539,517,673,2599,185,3670,2045,4407,1016,2220,0,23
33539,540,368,609,1035,2602,86,35,6,0,95,1148,1025,68,95,272,255,195,226,231,987,173,1371,488,1841,435,845,14,0
33540,1712,1851,2534,4464,11374,239,55,211,23,278,4989,3781,385,444,514,982,747,864,1462,4616,376,5354,3002,7976,1299,4232,15,0
33541,2380,2446,3410,8601,17544,1264,64,552,6,747,8191,6016,616,659,1467,2096,1561,1327,1530,5955,473,10267,5294,11160,2480,5251,99,0
33542,1556,1948,2345,5891,11828,421,9,136,0,485,5581,4318,461,501,949,1735,1053,940,1065,4199,383,7075,4269,7359,1591,3804,1,37
33543,5548,7995,6615,7186,26524,4493,86,1621,10,452,7181,13251,3132,390,566,1345,1464,2235,5982,15780,944,10165,4909,26377,3123,13804,4,15
33544,5339,6503,6991,6910,26382,2651,117,1626,40,455,6791,12784,2842,306,629,957,1653,2272,5713,15602,879,8832,4925,25135,2416,13351,19,20
33545,1137,1189,1306,1714,5347,653,47,179,52,53,1555,2819,398,70,194,327,295,745,914,2933,94,2171,1278,4858,495,2604,96,0
33547,2159,3061,2946,1742,11557,1058,5,401,0,178,1715,4938,1869,200,187,295,302,536,2876,6127,366,3073,1890,10881,917,5303,95,0
33548,706,1098,1040,644,3662,308,85,594,0,16,558,1710,647,21,43,64,136,227,971,2337,126,943,734,4025,145,2075,4,0
33549,2878,2162,2681,3270,10121,1084,8,387,0,214,3026,5417,1141,273,660,842,856,646,2173,6425,336,4118,1971,9256,1507,5756,26,7
33556,3432,4411,5766,5372,19567,1563,0,974,31,291,4827,9406,2532,183,462,652,1125,942,4977,11423,407,6776,3158,18106,1971,9653,31,0
33558,5484,7689,7149,6481,28603,2303,14,1595,0,134,5972,14396,3116,361,615,1353,1128,2248,6782,16743,888,8443,4193,27911,2132,14765,15,12
33559,4208,4844,5633,4903,19901,1951,6,939,46,219,4902,10774,2257,135,327,737,1070,1728,4572,13081,454,5762,3480,18436,1925,11781,14,0
